mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
0,4,-11,0.09999999999999998,-1,-12,0.09999999999999998,3,2,0.08200000000000007,0,15,15,-4,-4,-5,8,2,10
0,2,8,-0.022999999999999965,2,2,0.10199999999999995,2,-13,0.391,-6,0,-6,-2,3,0,-3,4,8
0,4,4,0.02400000000000002,2,3,0.03799999999999998,3,4,-0.008000000000000007,-2,-3,-5,1,4,3,-7,-3,13
0,-1,-5,0.012999999999999956,-4,-8,-0.13099999999999998,12,17,-0.05499999999999994,3,3,6,7,-2,5,-1,-10,6
0,4,0,0.051000000000000045,4,11,-0.0050000000000000044,-3,-3,-0.029999999999999916,2,7,9,7,0,-1,4,9,9
0,5,-12,0.13,3,1,0.18999999999999995,-4,-1,-0.1100000000000001,-9,4,-5,1,-2,5,4,2,9
0,3,0,0.03700000000000003,2,3,0.065,-4,3,-0.2589999999999999,1,-1,0,-4,2,2,2,1,4
0,-3,-3,-0.02200000000000002,3,7,0.058000000000000024,12,10,0.35500000000000004,-2,-5,-7,-1,4,6,-5,-8,9
0,1,6,-0.016000000000000014,1,-4,0.10399999999999998,-1,1,-0.07700000000000007,6,-1,5,3,-1,-9,0,-3,2
0,6,11,0.006000000000000005,1,2,0.006000000000000005,-3,-4,0.008000000000000007,-5,-10,-15,-2,4,3,-12,-9,10
0,4,-13,0.11099999999999999,-1,-6,0.10200000000000004,-5,-3,-0.15400000000000014,-6,10,4,4,-9,2,8,-2,2
0,6,4,0.051000000000000045,-5,-8,-0.07100000000000001,12,16,0.007000000000000006,12,9,21,4,2,3,-2,-7,19
0,6,2,0.06599999999999995,-2,2,-0.14900000000000002,-8,-7,-0.138,-6,-3,-9,9,3,-1,-5,1,2
0,-2,5,-0.04899999999999999,1,8,-0.05099999999999999,10,12,-0.020000000000000018,16,6,22,-1,-4,-2,8,-8,7
0,7,12,0.019000000000000017,3,4,0.08699999999999997,-6,-9,0.10699999999999998,5,5,10,4,3,1,0,-1,11
0,-2,2,-0.032999999999999974,0,-7,0.09900000000000003,5,-3,0.28200000000000003,-4,-7,-11,-1,5,4,-7,6,1
0,12,-10,0.23299999999999998,-4,-10,-0.0,9,3,0.248,-6,14,8,11,0,3,0,-4,29
0,-1,-3,0.0050000000000000044,-4,-7,-0.03799999999999998,16,17,0.1180000000000001,0,4,4,1,4,-1,-5,-2,10
0,4,16,-0.04799999999999999,1,6,-0.07399999999999995,1,-1,0.06399999999999995,2,-3,-1,9,5,-3,-9,3,10
0,0,-2,0.008000000000000007,-1,1,-0.06999999999999999,13,20,-0.09099999999999997,6,4,10,0,-3,6,0,-17,12
0,2,-4,0.044999999999999984,-5,-14,0.0,3,2,0.14300000000000002,-4,2,-2,4,0,-2,-2,-5,2
0,3,13,-0.03600000000000003,12,16,0.17800000000000005,2,2,0.02100000000000002,6,-6,0,9,6,-5,-9,4,20
0,7,-13,0.15300000000000002,-4,-17,0.21000000000000002,4,8,-0.07299999999999995,-3,6,3,1,-2,10,1,-3,14
0,10,2,0.10699999999999998,-2,-11,0.064,-5,-9,0.05499999999999994,-4,5,1,2,3,3,-3,7,13
0,3,2,0.023999999999999966,-2,-2,-0.126,-1,-5,0.13500000000000012,5,8,13,-5,4,0,3,1,3
0,0,-1,0.006000000000000005,-1,-3,0.01100000000000001,8,12,-0.030000000000000027,-1,5,4,-3,-2,0,3,-12,7
0,3,-13,0.09700000000000003,2,1,0.10200000000000001,-1,-2,0.030000000000000027,-6,9,3,-8,-4,3,4,1,7
0,10,-11,0.184,13,8,0.46399999999999997,-6,-9,0.050000000000000044,-7,12,5,12,-7,5,12,9,27
0,5,-3,0.065,5,-2,0.22500000000000003,-5,-6,-0.08400000000000007,-6,3,-3,9,-1,4,-2,2,10
0,2,-3,0.030999999999999972,-4,0,-0.182,8,7,0.08899999999999997,5,15,20,-3,-5,1,5,-7,8
0,11,14,0.059,-6,-5,-0.22600000000000003,-12,-13,-0.051000000000000045,9,6,15,1,1,-3,-3,3,4
0,-6,-12,0.0020000000000000018,5,4,0.162,10,7,0.20199999999999996,-11,-4,-15,13,4,5,-5,-5,3
0,2,-4,0.049000000000000044,3,8,0.0,-4,-8,0.04600000000000004,-6,1,-5,13,-1,9,0,-3,3
0,4,-3,0.07399999999999995,2,0,0.1529999999999999,0,1,-0.038000000000000145,-2,3,1,12,-3,-1,2,-4,10
0,2,6,-0.007000000000000006,2,1,0.08100000000000002,-3,-4,-0.013999999999999901,-1,-10,-11,4,1,0,-6,-2,3
0,12,-2,0.16500000000000004,6,9,0.14700000000000002,-1,3,-0.1339999999999999,3,10,13,8,6,3,-1,0,29
0,5,-2,0.07600000000000001,3,10,-0.064,3,8,-0.18900000000000006,-2,0,-2,4,4,3,-4,-8,16
0,8,12,0.02899999999999997,-1,3,-0.08899999999999997,-6,-2,-0.20900000000000007,5,-4,1,-7,8,-8,-10,-1,9
0,6,1,0.06,4,-8,0.5549999999999999,5,1,0.2310000000000001,-4,5,1,7,4,-9,-6,0,21
0,11,26,-0.008999999999999952,4,5,0.10100000000000003,-7,-14,0.17200000000000004,8,-5,3,0,1,-5,-13,7,19
0,9,15,0.02100000000000002,-6,-3,-0.21499999999999997,-1,-3,0.07800000000000007,8,8,16,6,2,3,-2,1,11
0,12,-15,0.22799999999999998,5,-2,0.273,-6,-5,-0.16300000000000003,-21,10,-11,16,7,2,-4,2,23
0,1,18,-0.09200000000000003,5,4,0.123,0,6,-0.239,9,-4,5,1,5,-11,-8,-6,7
0,-2,1,-0.026000000000000023,0,-1,0.024000000000000077,13,12,0.18799999999999994,3,6,9,1,1,2,-3,-5,9
0,12,-2,0.14900000000000008,8,5,0.2440000000000001,-7,-10,0.030000000000000027,-3,14,11,11,-4,-3,4,3,25
0,10,-2,0.12699999999999995,5,10,0.04200000000000004,-3,-7,0.15400000000000003,-10,0,-10,5,4,3,-6,-2,22
0,6,3,0.06,-2,-2,-0.07500000000000001,-8,-5,-0.16100000000000003,3,2,5,-8,2,3,0,8,2
0,14,8,0.129,2,-2,0.14400000000000002,-8,-9,-0.018000000000000127,-6,3,-3,14,8,-5,-11,0,22
0,4,-2,0.05700000000000005,-6,-13,-0.08800000000000008,4,7,-0.05700000000000005,-2,2,0,4,3,2,-2,-10,6
0,6,14,-0.0030000000000000027,4,18,-0.16700000000000004,-4,-3,-0.06699999999999995,13,4,17,-3,3,2,2,2,12
0,5,-10,0.11599999999999994,2,-5,0.12699999999999997,8,9,0.013000000000000012,-1,10,9,8,-1,7,0,-2,20
0,3,2,0.025000000000000022,-1,-4,0.010000000000000009,-2,3,-0.389,6,4,10,6,-2,-4,2,1,3
0,-5,-14,0.008999999999999952,-6,-16,-0.03699999999999998,22,27,-0.03299999999999992,-4,4,0,1,1,-1,-3,-10,6
0,5,6,0.024999999999999967,2,5,-0.01100000000000001,-5,1,-0.20999999999999996,7,4,11,3,4,-1,0,4,7
0,3,3,0.019999999999999962,3,-1,0.15400000000000003,-4,4,-0.21399999999999997,6,3,9,0,-3,5,3,-5,5
0,6,-8,0.11899999999999994,-6,-14,-0.06599999999999995,4,2,0.1200000000000001,-4,9,5,8,4,3,0,-4,10
0,6,-2,0.08200000000000002,-1,-15,0.14700000000000002,-5,-2,-0.16800000000000004,0,6,6,2,-6,3,3,-6,6
0,16,10,0.1429999999999999,-2,-6,0.0050000000000000044,-8,-15,0.22199999999999998,3,14,17,5,6,4,-5,8,22
0,10,-3,0.14400000000000002,7,3,0.274,3,-1,0.22499999999999998,-5,5,0,13,1,4,-7,3,30
0,9,-8,0.14500000000000002,0,1,-0.025000000000000022,0,-2,0.06999999999999995,-5,13,8,6,-3,-4,4,2,18
0,6,-4,0.09700000000000003,4,8,0.09999999999999998,-1,2,-0.118,1,4,5,5,5,2,0,-4,15
0,12,15,0.08400000000000007,0,3,-0.029000000000000026,-9,-11,-0.15000000000000002,-2,-2,-4,1,-3,-3,-5,4,15
0,4,9,-0.0050000000000000044,-1,-6,0.07399999999999995,-5,-7,0.008000000000000007,4,5,9,-8,4,-3,-4,1,2
0,12,9,0.10800000000000004,1,-6,0.12,-16,-28,0.19300000000000006,-6,-5,-11,10,2,4,-6,16,9
0,1,-11,0.07599999999999996,0,-2,0.052000000000000046,4,3,0.06300000000000006,-4,1,-3,1,4,5,2,0,6
0,9,2,0.10499999999999998,-4,-7,-0.11899999999999997,-1,-5,0.08699999999999997,1,12,13,1,-1,-1,0,0,13
0,3,-5,0.06700000000000006,-2,-3,-0.04199999999999998,2,0,0.125,1,-1,0,2,4,-3,1,6,6
0,3,6,0.0009999999999999454,3,3,0.1379999999999999,-3,-8,0.11599999999999999,1,6,7,-4,5,4,2,3,6
0,8,5,0.067,2,-6,0.179,2,3,-0.007000000000000006,-1,9,8,7,6,0,-6,-4,20
0,7,4,0.063,1,3,0.006000000000000005,9,8,0.15000000000000002,3,8,11,10,4,3,-2,-11,24
0,4,18,-0.03599999999999992,-3,-8,-0.01699999999999996,3,8,-0.19399999999999984,10,-11,-1,-1,9,2,-11,-1,8
0,-2,-14,0.06,-3,-9,-0.05600000000000002,9,11,-0.025000000000000022,-6,3,-3,5,0,1,-1,-5,2
0,3,0,0.035999999999999976,1,1,0.031000000000000028,1,3,-0.04800000000000004,-2,1,-1,12,-2,-2,-3,-2,8
0,2,3,0.010000000000000009,0,-6,0.07799999999999996,6,15,-0.18599999999999994,2,-9,-7,0,8,1,-11,-7,10
0,2,-16,0.12100000000000005,2,1,0.08400000000000002,5,4,0.08099999999999996,-8,5,-3,-3,0,0,1,6,11
0,11,12,0.07100000000000001,5,12,0.027000000000000024,12,17,0.14,8,5,13,2,6,0,-7,-9,39
0,1,4,-0.012000000000000066,-3,-4,-0.07600000000000001,3,6,-0.05699999999999994,3,0,3,2,1,2,-3,-6,2
0,3,-19,0.13399999999999995,2,2,0.09000000000000002,3,0,0.11499999999999999,-8,13,5,9,-3,6,9,1,11
0,6,0,0.07700000000000001,2,-3,0.17800000000000002,-4,-3,-0.07500000000000007,-4,6,2,-2,-2,2,1,-3,10
0,8,16,0.016000000000000014,-6,1,-0.32399999999999995,-6,-2,-0.15700000000000003,13,-3,10,-6,3,-1,-2,0,4
0,1,-5,0.03700000000000003,3,0,0.231,2,1,0.07999999999999996,1,6,7,-4,-1,6,3,-1,7
0,4,11,-0.0010000000000000009,-4,-1,-0.15199999999999997,2,4,-0.016000000000000014,10,1,11,7,-2,4,1,-5,6
0,1,2,0.0020000000000000018,2,6,-0.003999999999999948,10,10,0.12,-3,0,-3,6,2,-6,-2,1,14
0,-1,1,-0.01799999999999996,-3,-8,0.020999999999999908,9,17,-0.13100000000000012,9,-1,8,-10,-1,-1,0,-9,4
0,-3,-16,0.04600000000000004,2,-4,0.17499999999999996,8,8,0.06300000000000006,-9,5,-4,0,-3,1,3,-3,4
0,-2,-19,0.09900000000000003,-3,-4,-0.066,10,12,0.016999999999999904,-6,5,-1,-3,-5,0,6,-3,3
0,4,-6,0.08600000000000002,-6,-12,-0.03300000000000003,8,9,0.07200000000000006,2,9,11,1,2,0,3,-2,10
0,6,-9,0.11900000000000005,-2,-2,-0.10699999999999998,3,7,-0.09799999999999998,0,15,15,7,-9,3,8,-7,13
0,-1,-6,0.015000000000000013,6,11,0.21499999999999997,4,7,-0.041999999999999926,1,12,13,-2,-1,4,4,-5,8
0,8,10,0.04599999999999993,-4,-10,-0.027000000000000024,1,-8,0.562,-2,-1,-3,1,9,-3,-9,10,13
0,0,-9,0.043999999999999984,1,2,0.016000000000000014,12,16,-0.018999999999999906,4,7,11,3,-4,2,6,-11,13
0,8,7,0.062,10,9,0.31599999999999995,-8,-20,0.264,-4,4,0,8,0,-2,1,6,18
0,6,-10,0.13799999999999996,0,-8,0.16300000000000003,3,-1,0.16800000000000015,-6,11,5,1,-4,10,9,3,15
0,7,7,0.04700000000000004,0,7,-0.14499999999999996,-8,-15,0.22599999999999998,-2,-4,-6,4,3,4,-5,9,6
0,1,-15,0.09900000000000003,0,-1,0.017000000000000015,6,7,0.0129999999999999,0,14,14,4,1,5,9,2,8
0,-6,-10,-0.02799999999999997,-5,-7,-0.253,19,15,0.21399999999999986,-4,9,5,-12,-1,5,3,-8,2
0,9,9,0.055999999999999994,-2,-13,0.12300000000000005,-13,-13,-0.1379999999999999,2,2,4,1,-1,-2,0,4,3
0,4,-5,0.07800000000000001,-3,-4,-0.06700000000000006,4,2,0.139,2,15,17,3,-5,4,8,5,9
0,2,18,-0.08200000000000002,0,-4,0.14500000000000002,6,3,0.19900000000000007,6,-9,-3,3,4,-6,-9,-2,10
0,5,-4,0.08199999999999996,1,-5,0.128,-3,-4,0.010000000000000009,-10,4,-6,5,1,-2,-4,3,8
0,-5,-15,0.022999999999999965,6,2,0.20499999999999996,11,13,0.02399999999999991,-9,3,-6,-1,-3,6,1,-5,7
0,4,-10,0.10799999999999998,2,8,0.012999999999999984,3,5,-0.040000000000000036,-4,8,4,11,-5,10,1,-3,13
0,6,-6,0.09900000000000003,-2,-18,0.07,6,0,0.18800000000000017,-5,5,0,-1,3,-3,-5,-4,16
0,2,-3,0.04099999999999998,1,-3,0.16700000000000004,-3,-6,0.08200000000000007,-6,2,-4,-1,-4,-6,0,7,2
0,4,16,-0.02999999999999997,1,0,0.04999999999999999,-7,-11,-0.0,-2,-8,-10,4,8,-4,-9,3,2
0,4,9,-0.0050000000000000044,4,10,0.01799999999999996,-2,-6,0.139,-3,-8,-11,-13,4,-4,-11,5,10
0,-1,-5,0.018000000000000016,13,16,0.42800000000000005,6,3,0.18000000000000005,1,10,11,1,2,1,2,-2,17
0,3,-10,0.09799999999999998,-3,-5,-0.067,2,1,0.04499999999999993,-14,-1,-15,6,5,-2,-3,-2,5
0,0,-3,0.01899999999999996,-10,-16,-0.20800000000000002,16,22,-0.12100000000000011,5,1,6,-4,-2,0,-3,-9,6
0,-1,-7,0.029000000000000026,-2,-5,-0.025999999999999968,8,7,0.118,5,10,15,2,-4,-3,11,4,4
0,2,-4,0.044999999999999984,2,5,0.01200000000000001,-2,1,-0.13400000000000012,-2,4,2,2,-3,-1,1,1,4
0,0,-5,0.030999999999999972,1,0,0.04700000000000004,6,3,0.12,-2,4,2,0,0,2,-1,0,7
0,8,11,0.04299999999999998,-2,-4,-0.062,0,-6,0.15500000000000003,-2,-5,-7,5,8,4,-13,4,14
0,7,3,0.06900000000000006,-1,-3,-0.013000000000000012,-11,-23,0.10199999999999998,-10,0,-10,-5,4,1,-2,12,2
0,9,21,-0.013000000000000012,1,4,-0.04999999999999999,-9,-12,0.049000000000000044,2,-3,-1,-1,0,-3,-7,4,10
0,10,-11,0.181,-2,-9,0.11599999999999999,0,-1,0.02100000000000013,1,18,19,12,-7,3,13,4,18
0,2,-17,0.09999999999999998,0,-9,0.21399999999999997,2,8,-0.22099999999999997,-5,0,-5,7,1,-1,3,-6,6
0,1,10,-0.04300000000000004,1,9,-0.17399999999999993,2,3,-0.014000000000000123,6,-3,3,2,-1,4,-2,-6,5
0,-1,-11,0.04799999999999999,7,7,0.18100000000000005,0,-3,0.1289999999999999,-16,-3,-19,5,-1,2,-2,-6,5
0,1,-1,0.015999999999999903,3,-3,0.14699999999999996,-1,2,-0.10999999999999999,-3,-4,-7,-4,2,-1,-3,-1,4
0,0,7,-0.04300000000000004,5,9,0.16200000000000003,-1,-3,0.08199999999999996,8,6,14,6,-1,-1,0,-1,4
0,9,2,0.09999999999999998,4,3,0.221,-2,6,-0.22699999999999998,2,0,2,7,8,0,-3,-8,20
0,-3,-3,-0.01699999999999996,3,7,0.023999999999999966,15,13,0.3189999999999999,5,5,10,-2,-1,1,-4,-10,12
0,0,4,-0.02699999999999997,0,-4,0.06999999999999995,10,11,0.050999999999999934,2,-1,1,-3,0,0,1,-2,10
0,9,6,0.07600000000000001,-5,-3,-0.256,-5,-3,-0.10099999999999987,6,10,16,2,-3,-7,3,3,8
0,7,-4,0.11800000000000005,7,17,-0.09999999999999998,-6,-8,0.014000000000000123,-8,4,-4,8,0,3,2,4,15
0,4,6,0.016000000000000014,3,-4,0.23800000000000004,-5,-8,0.122,1,2,3,-3,-3,1,-1,4,6
0,3,-2,0.045999999999999985,1,0,0.040000000000000036,-5,-2,-0.11499999999999999,-6,-4,-10,-3,-5,5,-3,-5,2
0,3,-9,0.09399999999999997,0,-5,0.1329999999999999,10,13,0.026999999999999913,0,5,5,-1,-3,5,1,-8,16
0,13,6,0.13700000000000007,-2,-7,0.03600000000000003,-6,-12,0.11199999999999999,-2,4,2,15,0,-2,-2,0,18
0,-1,-5,0.011999999999999955,-2,1,-0.16499999999999998,11,6,0.20299999999999996,-3,1,-2,0,3,2,-2,-2,7
0,2,-22,0.139,2,-2,0.11499999999999999,2,0,0.09999999999999998,-5,9,4,5,-6,10,9,4,8
0,7,-14,0.15599999999999997,3,2,0.16999999999999998,4,8,-0.08499999999999996,-11,7,-4,3,3,6,-3,0,21
0,2,16,-0.07,3,4,0.043999999999999984,-3,2,-0.20499999999999996,8,-3,5,-4,5,2,-8,-8,4
0,4,-8,0.10500000000000004,3,1,0.14300000000000002,-2,-2,-0.030000000000000027,-5,3,-2,4,-3,0,3,3,9
0,8,10,0.03400000000000003,12,16,0.22899999999999998,-2,-6,0.10799999999999998,2,-1,1,14,3,4,-7,2,26
0,0,-3,0.012999999999999956,-3,-7,-0.091,10,15,-0.04599999999999993,10,6,16,0,-3,0,2,-7,7
0,7,1,0.09100000000000003,0,-6,0.129,6,7,0.018999999999999906,0,9,9,11,1,1,-1,1,20
0,2,-5,0.052000000000000046,0,-3,0.059,7,10,0.03200000000000003,-2,1,-1,-3,2,2,-2,-7,11
0,5,19,-0.026999999999999913,-1,5,-0.12,3,1,0.122,6,-5,1,-2,5,-3,-11,-3,12
0,-1,1,-0.018000000000000016,8,4,0.337,4,4,0.028000000000000025,2,3,5,8,1,-1,-3,-2,10
0,4,-4,0.06799999999999995,4,0,0.2,-5,-3,-0.18299999999999994,-9,2,-7,13,2,5,-4,-1,7
0,2,4,0.0010000000000000009,5,6,0.15899999999999997,-1,2,-0.139,4,-5,-1,-10,-1,-2,-3,-3,8
0,-1,-5,0.017000000000000015,-1,-1,-0.03899999999999998,12,6,0.354,-8,-1,-9,9,2,2,-7,-6,9
0,6,0,0.07499999999999996,3,5,0.08100000000000002,-4,2,-0.248,2,-2,0,4,6,5,-5,-1,11
0,3,7,0.004000000000000059,3,15,0.0,0,-1,0.04399999999999993,0,-7,-7,1,6,-1,-6,-1,9
0,-8,-11,-0.033999999999999975,1,-5,0.14800000000000002,19,19,0.17300000000000004,2,3,5,-4,2,-7,2,-13,4
0,0,5,-0.022999999999999965,-1,3,-0.10100000000000003,5,6,0.025000000000000022,12,7,19,-5,-2,-9,4,2,4
0,0,3,-0.018000000000000016,-1,-2,-0.020000000000000018,6,11,-0.10999999999999999,9,5,14,-2,-1,-1,0,-5,5
0,11,3,0.11700000000000005,-5,-8,-0.21699999999999997,-12,-9,-0.242,4,6,10,-3,0,4,4,1,5
0,7,6,0.05300000000000005,2,0,0.09600000000000003,-5,-8,0.051999999999999935,-1,7,6,12,0,2,0,1,11
0,3,-17,0.12999999999999995,-1,2,-0.07699999999999999,2,-2,0.12,-6,16,10,7,-5,8,10,0,7
0,1,-9,0.064,-1,-2,-0.01799999999999996,4,16,-0.20000000000000007,-6,3,-3,-1,-2,2,-2,-8,5
0,8,14,0.026000000000000023,6,18,-0.05499999999999999,0,-2,0.06999999999999995,8,5,13,3,4,0,-3,-1,22
0,3,3,0.020000000000000018,5,8,0.125,-3,-10,0.20500000000000007,-3,-4,-7,-3,4,5,-3,3,8
0,2,3,0.007999999999999952,2,5,0.010000000000000009,-5,-3,-0.1369999999999999,-9,-12,-21,10,4,-1,-7,-2,1
0,4,0,0.051999999999999935,5,8,0.125,-1,2,-0.14500000000000002,5,11,16,5,-1,-3,5,-1,12
0,-1,6,-0.043999999999999984,-6,-4,-0.233,9,8,0.121,0,1,1,-2,2,1,-2,-4,1
0,4,0,0.04700000000000004,9,6,0.32999999999999996,-8,-8,-0.13,4,12,16,-1,-9,-5,9,-2,9
0,3,8,-0.01200000000000001,-2,-2,-0.03600000000000003,-1,-1,-0.007999999999999896,6,-1,5,-3,-2,-1,-1,1,3
0,2,-8,0.07499999999999996,1,-8,0.20600000000000002,4,4,0.05600000000000005,-2,10,8,-2,-4,-5,7,1,9
0,-6,-21,0.03200000000000003,5,3,0.243,11,12,0.131,-6,3,-3,-5,-3,-1,9,-4,4
0,1,0,0.01100000000000001,9,17,-0.04399999999999993,-3,1,-0.1379999999999999,1,0,1,9,3,9,-1,-2,8
0,-5,-23,0.05499999999999999,3,-11,0.272,14,21,-0.052999999999999936,-4,11,7,7,-2,1,4,-8,7
0,1,-10,0.06099999999999994,-1,-7,0.07199999999999995,6,1,0.20599999999999996,-3,7,4,-3,-6,4,5,3,7
0,-4,-14,0.026000000000000023,4,3,0.128,10,6,0.14500000000000002,-5,4,-1,1,-4,0,5,-3,6
0,8,-2,0.10500000000000004,2,3,0.07399999999999998,-2,-4,0.039999999999999925,-4,9,5,9,-2,3,0,7,16
0,15,0,0.194,2,-2,0.14900000000000002,-5,-8,0.06399999999999995,-6,9,3,8,5,1,-7,-3,27
0,15,16,0.09699999999999992,-5,-11,0.0050000000000000044,-9,-17,0.1259999999999999,3,5,8,7,3,0,-4,5,16
0,2,1,0.020000000000000018,3,-7,0.279,1,0,0.04200000000000004,0,-4,-4,6,4,-6,-1,0,8
